,Unnamed: 0,eid,Author_ID,Affiliation_ID,cite,Auth_Ave_Cites,IsHigh
614,2400,2-s2.0-38149062674,7202523165,60006541,12,not high,0
617,2404,2-s2.0-37549061861,7006023826,60027294,1,not high,0
618,2407,2-s2.0-49749088899,55936260100,60009016,35,high,1
620,2413,2-s2.0-84885994592,35298349700,60025152,0,not high,0
621,2414,2-s2.0-84873452836,24398815300,60026124,0,not high,0
623,2420,2-s2.0-38049000321,35237863400,60021615,0,not high,0
624,2425,2-s2.0-36749060694,7404704995,60015457,50,not high,0
627,2429,2-s2.0-38449102249,7202226207,60019870,0,not high,0
628,2439,2-s2.0-38849145635,10041527400,105490398,3,not high,0
630,2449,2-s2.0-48649091685,7407026305,60021062,0,not high,0
633,2468,2-s2.0-38049112942,6507876429,60032350,0,not high,0
634,2482,2-s2.0-36049043552,7201613701,60020623,11,not high,0
636,2485,2-s2.0-38149133798,6603779463,60025225,11,not high,0
638,2488,2-s2.0-49949094041,42062368800,60025225,4,not high,0
640,2492,2-s2.0-47649086718,8937096600,60031706,0,not high,0
641,2495,2-s2.0-38049047106,7401564862,60078616,27,not high,0
643,2499,2-s2.0-56449106635,6603876297,60013372,31,not high,0
644,2500,2-s2.0-36549013593,55724680900,60002445,26,not high,0
646,2504,2-s2.0-57649232774,16401061500,60027561,2,not high,0
648,2507,2-s2.0-47649107467,6504537505,60000745,4,not high,0
650,2515,2-s2.0-36549072440,55460155600,60013223,31,not high,0
651,2523,2-s2.0-70350101065,6602405053,60011476,1,not high,0
652,2527,2-s2.0-77951664424,7004542143,60012464,2,not high,0
653,2533,2-s2.0-44049089371,7004042136,60005455,0,not high,0
657,2540,2-s2.0-39049141275,7003669698,60017592,3,not high,0
658,2541,2-s2.0-34248212337,8909939900,60016849,16,not high,0
660,2550,2-s2.0-36549045997,55894848900,60009860,14,not high,0
662,2556,2-s2.0-56849127431,55696116100,60019722,3,not high,0
666,2560,2-s2.0-84869856307,7403345932,60002593,0,not high,0
668,2570,2-s2.0-37749051212,7003369219,60007762,29,not high,0
