eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-72749092017,60019496,Qingdao University of Science and Technology,China
2-s2.0-72749102014,108140557,Utilization of Ministry of Education,China
2-s2.0-72749102014,60080101,East China Institute of Technology,China
2-s2.0-72749126855,60028891,Chang'an University,China
2-s2.0-72749126855,60026981,Xi'an University of Technology,China
2-s2.0-72749113589,60018273,University of Science and Technology Beijing,China
2-s2.0-72749087071,60014261,National Yunlin University of Science and Technology,Taiwan
2-s2.0-72749126767,100498872,Tianjin Architecture Design Institute,China
2-s2.0-72749126767,60019533,Tianjin University,China
2-s2.0-72749120667,101633659,Tianjin Bohai Chemical Industry Group Co.,China
2-s2.0-72749120667,60018038,Nankai University,China
2-s2.0-72749113796,60025278,Tsinghua University,China
2-s2.0-72749096789,60024979,Zhongnan University of EcoNomics and Law,China
2-s2.0-72749096789,60029306,Wuhan University,China
2-s2.0-72749117602,60009860,Fudan University,China
2-s2.0-72749092691,60017483,Institute of Oceanology Chinese Academy of Sciences,China
2-s2.0-72749092691,60003144,Dalian Jiaotong University,China
2-s2.0-72749113343,60088187,The Fourth Military Medical University,China
2-s2.0-72749111628,60025939,Yantai University,China
2-s2.0-72749111628,60004538,Dalian University of Technology,China
2-s2.0-72749092650,60021182,Sun Yat-Sen University,China
2-s2.0-72749092650,60022598,South China Seas Institute of Oceanography Chinese Academy of Sciences,China
2-s2.0-72749092650,60014966,Peking University,China
2-s2.0-72749083199,60009860,Fudan University,China
2-s2.0-72749105634,60007710,Minnesota State University,United States
2-s2.0-72749105634,60015941,University of Kentucky,United States
2-s2.0-72749114784,106208520,Huainan Union University,China
2-s2.0-72749119059,108140673,The 174 Hospital of the PLA,China
2-s2.0-72749119059,60018205,Xiamen University,China
2-s2.0-72749105182,60024542,South China University of Technology,China
2-s2.0-72749085109,60073572,Jiujiang University,China
2-s2.0-72749085109,60025761,Huazhong University of Science and Technology,China
2-s2.0-72749094523,60004538,Dalian University of Technology,China
2-s2.0-72749118562,60029322,Dalian Maritime University,China
2-s2.0-72749118562,60030501,Dalian University,China
